Question,Default Weight,Category,Opportunity Type,Opportunity Subtypes
CAPTCHA/Bot Challenges,10,Functional Requirements,Security,MDR
IP Reputation,10,Functional Requirements,Security,MDR
Device Fingerprinting,10,Functional Requirements,Security,MDR
Human Interaction Challenges,10,Functional Requirements,Security,MDR
Bot Threat Intelligence Integration,10,Functional Requirements,Security,MDR
Real-time Bot Intelligence,10,Functional Requirements,Security,MDR
Bot Traffic Patterns Analysis,10,Functional Requirements,Security,MDR
Anomaly Detection,10,Functional Requirements,Security,MDR
"Botnet filtering and remediation – Botnet filtering based on geography, explicit IO addresses/Ranges and leveraging threat intelligence integrations. ",10,Functional Requirements,Security,MDR
Support for remediation for each type of botnet filter,10,Functional Requirements,Security,MDR
Support creation of blocklists and allow lists,10,Functional Requirements,Security,MDR
Active or On Demand,10,Functional Requirements,Security,MDR
Protection capacity,10,Functional Requirements,Security,MDR
Layer 3/4 protection,10,Functional Requirements,Security,MDR
Layer 7 protection,10,Functional Requirements,Security,MDR
Traffic inspection and Analysis,10,Scoping Questions,Security,Penetration Test
Mitigation Strategies,10,Scoping Questions,Security,Penetration Test
Traffic Shaping,10,Scoping Questions,Security,Penetration Test
"Clean traffic return at layer 3 - GRE, IPSEC, or both",10,Scoping Questions,Security,Penetration Test
Number of NA scrubbing centers,10,Scoping Questions,Security,Penetration Test
